Date,Rate
6/11/2020,0.25
6/10/2020,0.25
6/9/2020,0.25
6/8/2020,0.25
6/5/2020,0.25
6/4/2020,0.25
6/3/2020,0.25
6/2/2020,0.25
6/1/2020,0.25
5/29/2020,0.25
5/28/2020,0.25
5/27/2020,0.25
5/26/2020,0.25
5/25/2020,0.25
5/22/2020,0.25
5/21/2020,0.25
5/20/2020,0.25
5/19/2020,0.25
5/18/2020,0.25
5/15/2020,0.25
5/14/2020,0.25
5/13/2020,0.25
5/12/2020,0.25
5/11/2020,0.25
5/8/2020,0.25
5/7/2020,0.25
5/6/2020,0.25
5/5/2020,0.25
5/4/2020,0.25
5/1/2020,0.25
4/30/2020,0.25
4/29/2020,0.25
4/28/2020,0.25
4/27/2020,0.25
4/24/2020,0.25
4/23/2020,0.25
4/22/2020,0.25
4/21/2020,0.25
4/20/2020,0.25
4/17/2020,0.25
4/16/2020,0.25
4/15/2020,0.25
4/14/2020,0.25
4/13/2020,0.25
4/10/2020,0.25
4/9/2020,0.25
4/8/2020,0.25
4/7/2020,0.25
4/6/2020,0.25
4/3/2020,0.25
4/2/2020,0.25
4/1/2020,0.25
3/31/2020,0.25
3/30/2020,0.25
3/27/2020,0.25
3/26/2020,0.75
3/25/2020,0.75
3/24/2020,0.75
3/23/2020,0.75
3/20/2020,0.75
3/19/2020,0.75
3/18/2020,0.75
3/17/2020,0.75
3/16/2020,0.75
3/13/2020,1.25
3/12/2020,1.25
3/11/2020,1.25
3/10/2020,1.25
3/9/2020,1.25
3/6/2020,1.25
3/5/2020,1.25
3/4/2020,1.25
3/3/2020,1.75
3/2/2020,1.75
2/28/2020,1.75
2/27/2020,1.75
2/26/2020,1.75
2/25/2020,1.75
2/24/2020,1.75
2/21/2020,1.75
2/20/2020,1.75
2/19/2020,1.75
2/18/2020,1.75
2/17/2020,1.75
2/14/2020,1.75
2/13/2020,1.75
2/12/2020,1.75
2/11/2020,1.75
2/10/2020,1.75
2/7/2020,1.75
2/6/2020,1.75
2/5/2020,1.75
2/4/2020,1.75
2/3/2020,1.75
1/31/2020,1.75
1/30/2020,1.75
1/29/2020,1.75
1/28/2020,1.75
1/27/2020,1.75
1/24/2020,1.75
1/23/2020,1.75
1/22/2020,1.75
1/21/2020,1.75
1/20/2020,1.75
1/17/2020,1.75
1/16/2020,1.75
1/15/2020,1.75
1/14/2020,1.75
1/13/2020,1.75
1/10/2020,1.75
1/9/2020,1.75
1/8/2020,1.75
1/7/2020,1.75
1/6/2020,1.75
1/3/2020,1.75
1/2/2020,1.75
1/1/2020,1.75
12/31/2019,1.75
12/30/2019,1.75
12/27/2019,1.75
12/26/2019,1.75
12/25/2019,1.75
12/24/2019,1.75
12/23/2019,1.75
12/20/2019,1.75
12/19/2019,1.75
12/18/2019,1.75
12/17/2019,1.75
12/16/2019,1.75
12/13/2019,1.75
12/12/2019,1.75
12/11/2019,1.75
12/10/2019,1.75
12/9/2019,1.75
12/6/2019,1.75
12/5/2019,1.75
12/4/2019,1.75
12/3/2019,1.75
12/2/2019,1.75
11/29/2019,1.75
11/28/2019,1.75
11/27/2019,1.75
11/26/2019,1.75
11/25/2019,1.75
11/22/2019,1.75
11/21/2019,1.75
11/20/2019,1.75
11/19/2019,1.75
11/18/2019,1.75
11/15/2019,1.75
11/14/2019,1.75
11/13/2019,1.75
11/12/2019,1.75
11/11/2019,1.75
11/8/2019,1.75
11/7/2019,1.75
11/6/2019,1.75
11/5/2019,1.75
11/4/2019,1.75
11/1/2019,1.75
10/31/2019,1.75
10/30/2019,1.75
10/29/2019,1.75
10/28/2019,1.75
10/25/2019,1.75
10/24/2019,1.75
10/23/2019,1.75
10/22/2019,1.75
10/21/2019,1.75
10/18/2019,1.75
10/17/2019,1.75
10/16/2019,1.75
10/15/2019,1.75
10/14/2019,1.75
10/11/2019,1.75
10/10/2019,1.75
10/9/2019,1.75
10/8/2019,1.75
10/7/2019,1.75
10/4/2019,1.75
10/3/2019,1.75
10/2/2019,1.75
10/1/2019,1.75
9/30/2019,1.75
9/27/2019,1.75
9/26/2019,1.75
9/25/2019,1.75
9/24/2019,1.75
9/23/2019,1.75
9/20/2019,1.75
9/19/2019,1.75
9/18/2019,1.75
9/17/2019,1.75
9/16/2019,1.75
9/13/2019,1.75
9/12/2019,1.75
9/11/2019,1.75
9/10/2019,1.75
9/9/2019,1.75
9/6/2019,1.75
9/5/2019,1.75
9/4/2019,1.75
9/3/2019,1.75
9/2/2019,1.75
8/30/2019,1.75
8/29/2019,1.75
8/28/2019,1.75
8/27/2019,1.75
8/26/2019,1.75
8/23/2019,1.75
8/22/2019,1.75
8/21/2019,1.75
8/20/2019,1.75
8/19/2019,1.75
8/16/2019,1.75
8/15/2019,1.75
8/14/2019,1.75
8/13/2019,1.75
8/12/2019,1.75
8/9/2019,1.75
8/8/2019,1.75
8/7/2019,1.75
8/6/2019,1.75
8/5/2019,1.75
8/2/2019,1.75
8/1/2019,1.75
7/31/2019,1.75
7/30/2019,1.75
7/29/2019,1.75
7/26/2019,1.75
7/25/2019,1.75
7/24/2019,1.75
7/23/2019,1.75
7/22/2019,1.75
7/19/2019,1.75
7/18/2019,1.75
7/17/2019,1.75
7/16/2019,1.75
7/15/2019,1.75
7/12/2019,1.75
7/11/2019,1.75
7/10/2019,1.75
7/9/2019,1.75
7/8/2019,1.75
7/5/2019,1.75
7/4/2019,1.75
7/3/2019,1.75
7/2/2019,1.75
7/1/2019,1.75
6/28/2019,1.75
6/27/2019,1.75
6/26/2019,1.75
6/25/2019,1.75
6/24/2019,1.75
6/21/2019,1.75
6/20/2019,1.75
6/19/2019,1.75
6/18/2019,1.75
6/17/2019,1.75
6/14/2019,1.75
6/13/2019,1.75
6/12/2019,1.75
6/11/2019,1.75
6/10/2019,1.75
6/7/2019,1.75
6/6/2019,1.75
6/5/2019,1.75
6/4/2019,1.75
6/3/2019,1.75
5/31/2019,1.75
5/30/2019,1.75
5/29/2019,1.75
5/28/2019,1.75
5/27/2019,1.75
5/24/2019,1.75
5/23/2019,1.75
5/22/2019,1.75
5/21/2019,1.75
5/20/2019,1.75
5/17/2019,1.75
5/16/2019,1.75
5/15/2019,1.75
5/14/2019,1.75
5/13/2019,1.75
5/10/2019,1.75
5/9/2019,1.75
5/8/2019,1.75
5/7/2019,1.75
5/6/2019,1.75
5/3/2019,1.75
5/2/2019,1.75
5/1/2019,1.75
4/30/2019,1.75
4/29/2019,1.75
4/26/2019,1.75
4/25/2019,1.75
4/24/2019,1.75
4/23/2019,1.75
4/22/2019,1.75
4/19/2019,1.75
4/18/2019,1.75
4/17/2019,1.75
4/16/2019,1.75
4/15/2019,1.75
4/12/2019,1.75
4/11/2019,1.75
4/10/2019,1.75
4/9/2019,1.75
4/8/2019,1.75
4/5/2019,1.75
4/4/2019,1.75
4/3/2019,1.75
4/2/2019,1.75
4/1/2019,1.75
3/29/2019,1.75
